ParticipantID,RecordType,ItemName,SuccessOrPassedVR,VerifiedEditor,TimeSpentSeconds
P002,Task,Scene Understanding,True,NA,32.89
P002,Task,Navigation,True,NA,20.78
P002,Task,Object Location,True,NA,0.41
P002,Task,Visual Description,True,NA,0.84
P002,Task,Object Grabbing,False,NA,0.21
P002,Event,City Post Office,True,False,NA
P002,Event,Spruce Forest,True,True,NA
P002,Event,City Christmas Tree,True,True,NA
P002,Event,Warehouse Parking Lot,True,True,NA
P002,Event,City Post Office,True,False,NA
P002,Event,Spruce Forest,True,False,NA
P002,Event,City Christmas Tree,True,False,NA
P002,Event,Warehouse Parking Lot,True,False,NA
