trial,target_number,time_seconds,hit,horizontal_angular_error_degrees,distance_error_3d_meters
1,1,100.504,0,3.729,3.213
2,1,2.133,0,36.416,4.751
3,1,1.651,0,7.169,3.127
4,1,1.332,0,1.543,3.145
5,1,1.321,0,5.147,3.798
6,1,1.108,0,4.249,3.009
7,1,0.719,0,0.420,3.714
8,1,0.708,0,6.934,3.363
9,1,0.774,0,0.782,3.266
10,1,0.748,0,6.992,3.702
11,1,0.810,0,14.029,4.069
12,1,0.922,0,14.703,3.945
13,1,0.551,0,3.190,3.243
14,1,0.564,1,2.225,1.861
15,3,13.992,0,43.298,3.407
16,3,1.716,1,1.034,2.491
17,4,6.427,0,47.366,2.973
18,4,1.067,0,26.576,2.204
19,4,0.785,1,4.587,1.761
20,2,5.775,0,28.016,3.454
21,2,0.760,0,6.508,2.877
22,2,0.600,0,0.985,2.233
23,2,0.598,0,2.869,0.373
24,2,0.769,0,2.349,1.287
25,2,0.658,0,6.759,3.274
26,2,0.573,0,2.752,4.181
27,2,0.593,0,4.300,5.225
28,2,0.541,0,5.097,2.134
29,2,0.560,0,4.350,1.372
30,2,0.573,0,8.818,1.890
31,2,0.536,0,10.640,1.798
32,2,0.498,0,11.576,2.713
33,2,0.579,0,1.255,2.378
34,2,1.775,1,3.288,2.149
1,2,76.336,1,0.289,1.360
2,2,28.104,1,2.202,1.281
3,2,25.909,0,104.211,4.392
4,2,30.938,1,17.538,0.869
5,2,8.607,0,19.906,0.440
6,2,1.627,0,6.997,0.458
7,2,1.008,0,3.005,1.327
8,2,1.049,1,1.840,1.462
9,2,2.014,0,46.130,1.141
10,2,0.577,0,40.272,1.119
11,2,0.568,0,46.195,1.257
12,2,8.669,1,0.620,0.855
1,2,84.306,0,21.234,2.339
2,2,4.398,0,2.550,0.260
3,2,2.554,0,0.886,1.557
4,2,3.061,0,0.721,1.092
5,2,5.723,0,0.028,1.176
6,2,0.775,0,0.186,1.245
7,2,0.870,0,0.000,1.266
8,2,1.194,0,0.066,1.251
9,2,0.552,0,0.095,1.270
10,2,1.975,0,5.414,1.173
11,2,0.904,0,2.555,1.034
12,2,0.656,0,4.014,1.034
13,2,0.759,0,2.902,0.912
14,2,1.224,0,11.710,1.244
15,2,1.128,0,11.344,1.044
16,2,1.068,0,2.031,0.953
17,2,1.395,0,1.796,1.226
18,2,0.971,0,3.356,0.651
19,2,0.923,0,1.130,0.522
20,2,0.496,0,3.365,1.082
21,2,2.731,0,3.286,1.306
22,2,0.323,0,0.695,1.390
23,2,0.313,0,0.990,1.522
24,2,1.173,0,0.809,1.370
25,2,0.490,0,0.140,1.326
26,2,1.879,0,0.410,1.009
27,2,0.355,0,0.750,1.068
28,2,2.818,0,0.902,1.798
29,2,0.481,0,0.395,2.071
30,2,0.601,0,12.657,2.451
31,2,0.475,0,9.991,1.753
32,2,0.330,0,2.175,1.244
33,2,7.245,0,0.930,1.101
34,2,0.593,0,11.770,1.224
35,2,0.576,0,8.345,1.266
36,2,0.169,0,9.133,1.273
37,2,1.590,0,5.218,1.211
38,2,0.343,0,5.117,1.293
39,2,0.162,0,6.555,1.308
40,2,0.166,0,6.694,1.315
41,2,0.325,0,8.675,1.327
